Event_ID,Year,Month,Jurisdiction,Level,Policy_Type,Description,Source,Source_URL,Verification_Status,Macro_Category,Redistribution_Type,Gov_Architecture
V-021,2024,10.0,US,National,Nuclear_SMR,Amazon-X-energy-Energy Northwest agreement for 320MW SMRs (scalable to 960MW),Amazon/Fortune,https://fortune.com/2024/10/16/google-amazon-microsoft-nuclear-energy-ai-data-centers/,Verified,NUCLEAR_PROCUREMENT,Sectoral,Facilitation
V-022,2024,10.0,Manassas,Subnational,Project_Rejection,Amazon Manassas data center withdrawn after 6-1 Planning Commission vote,Data Center Watch,https://www.datacenterwatch.org/report,Verified,SITING_CONTROL,Spatial,Constraint
V-023,2024,10.0,Prince William County,Subnational,Legal_Challenge,Prince William County judge dismisses PW Digital Gateway lawsuit (appeal filed),Data Center Watch,https://www.datacenterwatch.org/report,Verified,SITING_CONTROL,Spatial,Constraint
V-024,2024,11.0,US,National,Nuclear_SMR,Kairos Power receives NRC construction license for Hermes 35MWe demo reactor,NRC/GJIA,https://gjia.georgetown.edu/2025/04/16/ais-energy-demands-and-nuclears-uncertain-future/,Verified,NUCLEAR_PROCUREMENT,Sectoral,Facilitation
V-026,2025,5.0,US,National,Nuclear_Policy,Executive Order 14302 calls for 300GW new US nuclear capacity by 2050,NucNet,https://www.nucnet.org/news/doe-releases-additional-usd83-million-for-palisades-nuclear-restart-8-1-2025,Verified,NUCLEAR_GOVERNANCE,Temporal,Steering
V-027,2025,5.0,EU,Supranational,Mandatory_Reporting,Second EED reporting deadline (May 15) for 2024 data,EUDCA,https://www.eudca.org/energy-efficiency-directive,Verified,GRID_REGULATION,Sectoral,Steering
V-028,2025,7.0,US,National,Nuclear_Restart,NRC approves Holtec licensing package for Palisades restart,NRC/Canary Media,https://www.canarymedia.com/articles/nuclear/holtec-palisades-restart-federal-approval,Verified,NUCLEAR_PROCUREMENT,Sectoral,Facilitation
V-029,2025,8.0,US,National,Nuclear_Restart,Palisades returns to operational status (first US reactor from decommissioning),Holtec/NRC,https://www.nrc.gov/info-finder/reactors/pali,Verified,NUCLEAR_PROCUREMENT,Sectoral,Facilitation
V-030,2025,8.0,St. Charles,Subnational,Moratorium,St. Charles becomes first US city with citywide data center moratorium (1 year),Stateside,https://www.stateside.com/blog/data-center-energy-demands,Verified,MORATORIUM,Spatial,Constraint
V-031,2025,9.0,Pike County,Subnational,Moratorium,Pike County passes data center moratorium,GPB,https://www.gpb.org/news/2025/10/22/wave-of-data-center-ordinances-sweep-through-ga-counties-how-strict-are-they,Verified,MORATORIUM,Spatial,Constraint
V-032,2025,9.0,Lamar County,Subnational,Moratorium,Lamar County passes data center moratorium,GPB,https://www.gpb.org/news/2025/10/22/wave-of-data-center-ordinances-sweep-through-ga-counties-how-strict-are-they,Verified,MORATORIUM,Spatial,Constraint
V-033,2025,9.0,Troup County,Subnational,Moratorium,Troup County passes data center moratorium,GPB,https://www.gpb.org/news/2025/10/22/wave-of-data-center-ordinances-sweep-through-ga-counties-how-strict-are-they,Verified,MORATORIUM,Spatial,Constraint
V-034,2025,9.0,Clayton County,Subnational,Moratorium,Clayton County passes data center moratorium,GPB,https://www.gpb.org/news/2025/10/22/wave-of-data-center-ordinances-sweep-through-ga-counties-how-strict-are-they,Verified,MORATORIUM,Spatial,Constraint
V-035,2025,9.0,LaGrange,Subnational,Moratorium,LaGrange city passes data center moratorium,GPB,https://www.gpb.org/news/2025/10/22/wave-of-data-center-ordinances-sweep-through-ga-counties-how-strict-are-they,Verified,MORATORIUM,Spatial,Constraint
V-036,2025,10.0,US,National,Nuclear_Restart,New fuel arrives at Palisades (68 assemblies),Holtec,https://holtecinternational.com/2025/10/20/hh-40-22/,Verified,NUCLEAR_PROCUREMENT,Sectoral,Facilitation
V-037,2025,10.0,Singapore,National,Infrastructure,Jurong Island 700MW low-carbon data center park announced,EDB/JTC,https://www.reedsmith.com/articles/singapores-data-centre-expansion-jurong-island-sustainable-growth/,Verified,REGULATORY_FRAMEWORK,Temporal,Steering
V-038,2025,12.0,Singapore,National,Permit_Control,DC-CFA2 launched with 200MW capacity and stricter sustainability requirements,IMDA/KWM,https://www.kwm.com/global/en/insights/latest-thinking/singapore-launches-200mw-data-centre-call-for-application-dc-cfa2.html,Verified,REGULATORY_FRAMEWORK,Temporal,Steering
V-039,2025,12.0,US,National,Advocacy,230+ environmental groups send letter to Congress requesting national data center moratorium,Food & Water Watch/NPR,https://www.npr.org/2025/12/09/nx-s1-5637532/environmental-groups-call-for-a-moratorium-on-data-center-construction,Verified,MORATORIUM,Spatial,Constraint
V-040,2025,12.0,US,National,Advocacy,Senator Bernie Sanders calls for national data center moratorium,Data Center Knowledge,https://www.datacenterknowledge.com/build-design/calls-for-us-data-center-freeze-grow-as-local-enthusiasm-melts,Verified,MORATORIUM,Spatial,Constraint
V-041,2025,12.0,Ireland,National,Moratorium_Lifted,CRU publishes final LEU connection policy ending de facto moratorium (with conditions),CRU/Bloomberg,https://www.energyconnects.com/news/utilities/2025/december/ireland-ends-moratorium-on-new-power-links-to-data-centers/,Verified,MORATORIUM,Spatial,Constraint
V-042,2025,12.0,US,National,Nuclear_Restart,Palisades restart delayed to early 2026,Michigan Public,https://www.michiganpublic.org/environment-climate-change/2025-12-17/palisades-nuclear-plant-restart-plans-pushed-back-to-early-2026,Verified,NUCLEAR_PROCUREMENT,Sectoral,Facilitation
V-043,2025,12.0,Starke County,Subnational,Moratorium,"Starke County Planning Commission approves one-year moratorium on hyperscale data centers (5,000+ sq ft), becoming fourth Indiana county after Marshall, White, and Putnam counties",TechPolicy Press,https://www.techpolicy.press/the-real-race-for-an-ai-moratorium-stopping-data-centers/,Verified,MORATORIUM,Spatial,Constraint
V-044,2025,12.0,DeKalb County,Subnational,Moratorium,DeKalb County extends existing data center moratorium by 6 months,Data Center Knowledge,https://www.datacenterknowledge.com/build-design/calls-for-us-data-center-freeze-grow-as-local-enthusiasm-melts,Verified,MORATORIUM,Spatial,Constraint
V-045,2026,1.0,US,National,Nuclear_Data_Center,Meta announces 6.6GW nuclear deals with Vistra TerraPower and Oklo,NucNet,https://www.nucnet.org/news/meta-announces-6-6-gw-of-nuclear-energy-projects-to-power-ai-revolution-1-5-2026,Verified,NUCLEAR_PROCUREMENT,Sectoral,Facilitation
V-046,2026,1.0,Virginia,Subnational,Moratorium_Bill,Virginia Delegate Irene Shin introduces statewide data center moratorium bill (until 2028),DCD,https://www.datacenterdynamics.com/en/news/virginia-house-of-delegates-may-consider-temporary-data-center-moratorium/,Verified,MORATORIUM,Spatial,Constraint
V-047,2025,12.0,Chandler,Subnational,Project_Rejection,Chandler City Council unanimously rejects Active Infrastructure data center,American Prospect,https://prospect.org/2025/12/22/demands-for-data-center-moratoriums-surge/,Verified,SITING_CONTROL,Spatial,Constraint
V-048,2025,4.0,Leesburg,Subnational,Project_Rejection,Leesburg town council refuses to rezone 554 acres for data center,American Prospect,https://prospect.org/2025/12/22/demands-for-data-center-moratoriums-surge/,Verified,SITING_CONTROL,Spatial,Constraint
V-049,2024,10.0,Burns Harbor,Subnational,Project_Withdrawal,Provident Realty withdraws Burns Harbor data center petition,Data Center Watch,https://www.datacenterwatch.org/report,Verified,SITING_CONTROL,Spatial,Constraint
V-050,2025,6.0,US,National,Nuclear_Data_Center,Amazon-Talen Energy 1.9GW nuclear PPA through 2042 for Susquehanna,Trellis,https://trellis.net/article/amazon-google-meta-and-microsoft-go-nuclear/,Verified,NUCLEAR_PROCUREMENT,Sectoral,Facilitation
V-051,2022,2.0,Netherlands,National,Moratorium,Dutch government imposes 9-month ban on new hyperscale data centers,DCD,https://www.datacenterdynamics.com/en/news/facebook-parent-meta-officially-kills-zeewolde-data-center-after-pushback-in-the-netherlands/,Verified,MORATORIUM,Spatial,Constraint
V-052,2022,7.0,Zeewolde,Subnational,Project_Cancellation,Meta cancels Zeewolde data center (200MW) after political opposition,DCD,https://www.datacenterdynamics.com/en/news/facebook-parent-meta-officially-kills-zeewolde-data-center-after-pushback-in-the-netherlands/,Verified,SITING_CONTROL,Spatial,Constraint
V-053,2022,6.0,Netherlands,National,Policy_Framework,Dutch cabinet approves draft decision to strictly regulate hyperscale data centers,Data Centre Magazine,https://datacentremagazine.com/articles/the-change-driven-by-europes-data-centre-build-restrictions,Verified,REGULATORY_FRAMEWORK,Temporal,Steering
V-054,2023,7.0,Japan,National,Nuclear_Restart,Takahama Unit 1 resumes operation after 12-year hiatus (first >40yr reactor restart),Nippon.com,https://www.nippon.com/en/japan-data/h02619/,Verified,NUCLEAR_PROCUREMENT,Sectoral,Facilitation
V-055,2024,10.0,Japan,National,Nuclear_Restart,Onagawa Unit 2 resumes operation - first eastern Japan restart since Fukushima,Nippon.com/NucNet,https://www.nippon.com/en/japan-data/h02183/,Verified,NUCLEAR_PROCUREMENT,Sectoral,Facilitation
V-056,2024,10.0,Japan,National,Nuclear_Policy,NRA approves Takahama 50-year operation extension - first approval beyond 50 years,Nippon.com,https://www.nippon.com/en/japan-data/h02183/,Verified,NUCLEAR_GOVERNANCE,Temporal,Steering
V-057,2024,10.0,Japan,National,Nuclear_Policy,Economy Minister Muto calls for maximum reactor restarts citing AI/data center demand,NucNet,https://www.nucnet.org/news/new-economy-minister-calls-for-as-many-reactor-restarts-as-possible-10-3-2024,Verified,NUCLEAR_GOVERNANCE,Temporal,Steering
V-058,2024,12.0,Japan,National,Nuclear_Restart,Shimane Unit 2 resumes operation,Nippon.com,https://www.nippon.com/en/japan-data/h02619/,Verified,NUCLEAR_PROCUREMENT,Sectoral,Facilitation
V-059,2025,2.0,Japan,National,Nuclear_Policy,New Basic Energy Plan removes phrase on minimizing nuclear dependence aims for 20% by 2040,Nippon.com,https://www.nippon.com/en/japan-data/h02619/,Verified,NUCLEAR_GOVERNANCE,Temporal,Steering
V-060,2025,11.0,Japan,National,Nuclear_Restart,Niigata Governor approves Kashiwazaki-Kariwa Unit 6 restart (world's largest plant 8.2GW),CNN/World Nuclear News,https://www.cnn.com/2025/12/22/asia/japan-nuclear-reactor-restart-kashiwazaki-kariwa-intl-hnk,Verified,NUCLEAR_PROCUREMENT,Sectoral,Facilitation
V-061,2026,1.0,Japan,National,Nuclear_Restart,Kashiwazaki-Kariwa Unit 6 restart scheduled (first TEPCO restart since Fukushima),Power Magazine,https://www.powermag.com/japan-prepares-to-restart-unit-at-worlds-largest-nuclear-power-plant/,Verified,NUCLEAR_PROCUREMENT,Sectoral,Facilitation
V-062,2025,6.0,US,National,Nuclear_Data_Center,Meta-Constellation 20-year PPA for Clinton Clean Energy Center (1121MW),Constellation,https://www.constellationenergy.com/newsroom/2025/constellation-meta-sign-20-year-deal-for-clean-reliable-nuclear-energy-in-illinois.html,Verified,NUCLEAR_PROCUREMENT,Sectoral,Facilitation
V-063,2025,10.0,US,National,Nuclear_Restart,NextEra-Google 25-year PPA to restart Duane Arnold (615MW target 2029),NextEra/Google,https://blog.google/feed/infrastructureduane-arnold-nuclear-plant-iowa/,Verified,NUCLEAR_PROCUREMENT,Sectoral,Facilitation
V-064,2025,1.0,US,National,Nuclear_Restart,NextEra files licensing change request with NRC for Duane Arnold restart,ANS Nuclear Newswire,https://www.ans.org/news/2025-10-28/article-7501/nextera-and-google-ink-a-deal-to-restart-duane-arnold/,Verified,NUCLEAR_PROCUREMENT,Sectoral,Facilitation
V-065,2025,8.0,US,National,Regulatory_Approval,FERC approves NextEra waiver for Duane Arnold grid reconnection,Utility Dive,https://www.utilitydive.com/news/nextera-google-nuclear-earnings/804308/,Verified,REGULATORY_FRAMEWORK,Temporal,Steering
V-066,2020,10.0,US,National,Nuclear_Shutdown,Duane Arnold nuclear plant closes (derecho damage uneconomical to repair),POWER Magazine,https://www.powermag.com/derecho-damage-results-in-early-retirement-of-duane-arnold-nuclear-power-plant/,Verified,NUCLEAR_GOVERNANCE,Temporal,Steering
V-067,2019,9.0,US,National,Nuclear_Shutdown,Three Mile Island Unit 1 closes due to economic challenges,NucNet,https://www.nucnet.org/news/nextera-and-amazon-sign-agreement-to-restart-duane-arnold-nuclear-power-plant-10-2-2025,Verified,NUCLEAR_GOVERNANCE,Temporal,Steering
V-068,2024,8.0,US,National,Nuclear_SMR,Google-Kairos Power-TVA collaboration announced for SMR deployment,ANS Nuclear Newswire,https://www.ans.org/news/2025-10-28/article-7501/nextera-and-google-ink-a-deal-to-restart-duane-arnold/,Verified,NUCLEAR_PROCUREMENT,Sectoral,Facilitation
V-069,2025,6.0,US,National,Nuclear_Fusion,Google-Commonwealth Fusion Systems PPA for fusion energy,ANS Nuclear Newswire,https://www.ans.org/news/2025-10-28/article-7501/nextera-and-google-ink-a-deal-to-restart-duane-arnold/,Verified,NUCLEAR_PROCUREMENT,Sectoral,Facilitation
V-070,2024,12.0,US,National,Nuclear_Data_Center,Meta releases RFP seeking 1-4GW of new nuclear generation capacity,Utility Dive,https://www.utilitydive.com/news/meta-constellation-illinois-clinton-nuclear-ppa-support-ai-goals/749992/,Verified,NUCLEAR_PROCUREMENT,Sectoral,Facilitation
V-071,2025,9.0,Prince George's County,Subnational,Moratorium,Prince George's County imposes 180-day pause on data center proposals,TechPolicy Press,https://www.techpolicy.press/local-governments-are-learning-how-to-negotiate-with-data-center-developers/,Verified,MORATORIUM,Spatial,Constraint
V-072,2025,8.0,San Marcos,Subnational,Project_Pause,San Marcos pauses $1.5B 200-acre data center proposal over energy concerns,TechPolicy Press,https://www.techpolicy.press/local-governments-are-learning-how-to-negotiate-with-data-center-developers/,Verified,SITING_CONTROL,Spatial,Constraint
V-073,2025,8.0,Tucson,Subnational,Project_Opposition,Tucson City Council unanimously opposes Amazon Project Blue ($3.6B campus),TechPolicy Press,https://www.techpolicy.press/local-governments-are-learning-how-to-negotiate-with-data-center-developers/,Verified,SITING_CONTROL,Spatial,Constraint
V-074,2025,12.0,Birmingham,Subnational,Moratorium_Proposed,Birmingham City Council considers 270-day moratorium on data center applications,Data Center Knowledge,https://www.datacenterknowledge.com/build-design/calls-for-us-data-center-freeze-grow-as-local-enthusiasm-melts,Verified,MORATORIUM,Spatial,Constraint
V-075,2025,11.0,Howell,Subnational,Moratorium,Howell Township passes data center moratorium (proposed facility withdrawn),Bridge Michigan,https://bridgemi.com/michigan-environment-watch/at-least-19-michigan-towns-pause-data-centers-no-one-knows-if-itll-work/,Verified,MORATORIUM,Spatial,Constraint
V-076,2025,11.0,Michigan,Subnational,Moratorium,At least 19 Michigan towns pause data center approvals,Bridge Michigan,https://bridgemi.com/michigan-environment-watch/at-least-19-michigan-towns-pause-data-centers-no-one-knows-if-itll-work/,Verified,MORATORIUM,Spatial,Constraint
V-077,2025,11.0,US,National,Legislation,238 data center-related bills considered across all 50 states - 40+ enacted in 21 states,Truthout/MultiState,https://truthout.org/articles/as-towns-and-cities-fight-off-data-centers-calls-grow-for-a-national-moratorium/,Verified,REGULATORY_FRAMEWORK,Temporal,Steering
V-079,2024,11.0,Virginia,Subnational,Regulatory,Dominion Energy creates new rate class for large load users including data centers,DCD,https://www.datacenterdynamics.com/en/news/virginia-house-of-delegates-may-consider-temporary-data-center-moratorium/,Verified,REGULATORY_FRAMEWORK,Temporal,Steering
V-080,2025,11.0,US,National,Moratorium,14 states have cities/counties with data center moratoriums,TechPolicy Press,https://www.techpolicy.press/the-real-race-for-an-ai-moratorium-stopping-data-centers/,Verified,MORATORIUM,Spatial,Constraint
V-081,2024,6.0,Korea,National,Grid_Restriction,KEPCO restricts additional power supply in Seoul metropolitan area; power permit confirmation extended from 2-3 months to ~12 months for data centers,Cushman & Wakefield,https://www.cushmanwakefield.com/en/south-korea/insights/south-korea-data-center-industry,Verified,GRID_REGULATION,Sectoral,Constraint
V-082,2024,6.0,Korea,National,Legislation,"Korean government passes three legislations: disaster recovery mandates for large digital service providers, additional KEPCO powers to manage grid applications and remove power from existing contracts",Cushman & Wakefield,https://www.cushmanwakefield.com/en/south-korea/insights/south-korea-data-center-industry,Verified,REGULATORY_FRAMEWORK,Temporal,Steering
V-083,2024,6.0,Korea,National,Policy_Framework,Korean government policy directs decentralization of data centres away from Greater Seoul Area to regional purpose-led districts,Cushman & Wakefield,https://www.cushmanwakefield.com/en/south-korea/insights/south-korea-data-center-industry,Verified,REGULATORY_FRAMEWORK,Temporal,Steering
V-084,2024,6.0,Korea,National,Legislation,Special Act on Distributed Energy Activation enacted (June 14) intensifying competition for power acquisition in Seoul metropolitan area,Chambers and Partners,https://practiceguides.chambers.com/practice-guides/power-generation-transmission-distribution-2025/south-korea/trends-and-developments,Verified,REGULATORY_FRAMEWORK,Temporal,Steering
V-085,2024,12.0,Korea,National,Nuclear_SMR,LS Electric and Korea Hydro & Nuclear Power (KHNP) sign MoU to develop AI data centers powered by SMR (i-SMR 170MW) technology,DCD,https://www.datacenterdynamics.com/en/news/ls-electric-korea-hydro-and-nuclear-power-corporation-ink-smr-powered-ai-data-center-mou/,Verified,NUCLEAR_PROCUREMENT,Sectoral,Facilitation
V-086,2025,11.0,Korea,National,Nuclear_Restart,NSSC approves continued operation of Kori Unit 2 until April 2033 - first South Korean reactor to receive operating lifetime extension beyond 40 years,World Nuclear Association,https://world-nuclear.org/information-library/country-profiles/countries-o-s/south-korea,Verified,NUCLEAR_PROCUREMENT,Sectoral,Facilitation
V-087,2025,5.0,Korea,National,Nuclear_Policy,First concrete poured for Shin Hanul Unit 3 (APR1400 1400MWe) in May 2025 - NSSC issued construction licence September 2024,World Nuclear Association,https://world-nuclear.org/information-library/country-profiles/countries-o-s/south-korea,Verified,NUCLEAR_GOVERNANCE,Temporal,Steering
V-088,2025,8.0,US,National,Nuclear_Data_Center,X-energy Amazon KHNP(Korea) Doosan(Korea) partnership to deploy 5GW+ Xe-100 SMR nuclear energy in US for AI data centers with up to $50B investment,X-energy,https://x-energy.com/media/news-releases/x-energy-amazon-korea-hydro-amp-nuclear-power-and-doosan-enerbility-announce-partnership-to-scale-advanced-nuclear-energy-for-ai-infrastructure,Verified,NUCLEAR_PROCUREMENT,Sectoral,Facilitation
V-089,2024,9.0,UK,National,Policy_Framework,UK Government designates data centres as Critical National Infrastructure (CNI) putting digital infrastructure in same category as energy and water,UK Government/DSIT,https://commonslibrary.parliament.uk/research-briefings/cbp-10315/,Verified,REGULATORY_FRAMEWORK,Temporal,Steering
V-090,2024,12.0,UK,National,Policy_Framework,National Planning Policy Framework revised to require local authorities to consider need for data centres when setting local policies - first specific mention of data centres in national planning framework,UK Government/NPPF,https://www.womblebonddickinson.com/uk/insights/articles-and-briefings/evolution-planning-consent-data-centres,Verified,REGULATORY_FRAMEWORK,Temporal,Steering
V-091,2024,12.0,England,Subnational,Regulatory_Approval,Secretary of State Angela Rayner overturns local council rejection to approve 140MW hyperscale data centre on green belt land at Court Lane Buckinghamshire,UK Parliament,https://researchbriefings.files.parliament.uk/documents/CBP-10315/CBP-10315.pdf,Verified,REGULATORY_FRAMEWORK,Temporal,Steering
V-092,2025,5.0,England,Subnational,Regulatory_Approval,Secretary of State approves hyperscale data centre in Abbots Langley Hertfordshire on grey belt land - decision later challenged by campaigners on environmental impact grounds,DCD,https://www.datacenterdynamics.com/en/news/planning-permission-for-buckinghamshire-data-center-likely-to-be-quashed-after-uk-government-admits-serious-logical-error/,Verified,REGULATORY_FRAMEWORK,Temporal,Steering
V-093,2025,6.0,UK,National,Policy_Framework,UK Government launches AI Growth Zones (AIGZ) initiative with fast-track planning and grid access for AI data centres - zones designated in Oxford and North East England,UK Government,https://www.womblebonddickinson.com/uk/insights/articles-and-briefings/evolution-planning-consent-data-centres,Verified,REGULATORY_FRAMEWORK,Temporal,Steering
V-094,2025,10.0,UK,National,Legislation,UK Government announces data centres can opt into Nationally Significant Infrastructure Projects (NSIP) regime - planning decisions made by Secretary of State rather than local authorities,UK Parliament,https://datacentrereview.com/2025/11/uk-parliament-backs-nsip-status-for-data-centres/,Verified,REGULATORY_FRAMEWORK,Temporal,Steering
V-095,2025,12.0,London,Subnational,Project_Opposition,London Assembly report finds housing development constrained in three boroughs due to data centre energy demand competing for limited grid capacity,London Assembly,https://www.london.gov.uk/sites/default/files/2025-12/Planning%20Regeneration%20Committee%20-%20Energy%20Infrastructure%20Report%20FINAL.pdf,Verified,SITING_CONTROL,Spatial,Constraint
V-096,2025,12.0,Scotland,Subnational,Moratorium_Proposed,APRS and ERCS call for Scottish Government to establish moratorium on granting planning permission for data centres - proposed centres would double Scotland energy demands,ERCS,https://www.ercs.scot/news/data-centres-in-the-scottish-planning-system-would-double-scotlands-energy-demands-press-release/,Verified,MORATORIUM,Spatial,Constraint
V-097,2023,9.0,Germany,National,Legislation,German Parliament passes Energy Efficiency Act (Energieeffizienzgesetz EnEfG) imposing specific energy efficiency obligations on data centers including PUE requirements and waste heat reuse mandates,DCD,https://www.datacenterdynamics.com/en/news/germany-expected-to-pass-energy-efficiency-act-this-week-with-data-center-restrictions/,Verified,REGULATORY_FRAMEWORK,Temporal,Steering
V-098,2024,1.0,Germany,National,Energy_Mandate,Germany Energy Efficiency Act data center provisions take effect: 50% renewable electricity mandate for data centers over 300kW; energy management systems required by July 2025,Mayer Brown,https://www.mayerbrown.com/en/insights/publications/2024/02/sustainable-data-centers-the-german-energy-efficiency-act-what-data-center-operators-need-to-consider-now-and-in-the-future,Verified,GRID_REGULATION,Sectoral,Steering
V-099,2024,8.0,Germany,National,Mandatory_Reporting,First reporting deadline for German data centre energy efficiency register (RZReg) - operators of data centres over 500kW must report energy consumption and PUE data to BAFA,Bird & Bird,https://www.twobirds.com/en/insights/2024/impact-of-the-energy-efficiency-directive-and-the-energy-efficiency-act-on-companies-especially-data,Verified,GRID_REGULATION,Sectoral,Steering
V-100,2025,2.0,France,National,Nuclear_Data_Center,France AI Action Summit: Government secures €109B+ in digital infrastructure investment; President Macron promotes nuclear-powered data centres as competitive advantage ('plug baby plug'),DCD,https://www.datacenterdynamics.com/en/analysis/france-ai-data-center-build-out-emmanuel-macron/,Verified,NUCLEAR_PROCUREMENT,Sectoral,Facilitation
V-101,2025,2.0,France,National,Nuclear_Data_Center,Fluidstack signs MoU with French government to build 1GW decarbonised AI supercomputer powered by nuclear energy with plans for scalable expansion beyond 1GW by 2028,World Nuclear News,https://www.world-nuclear-news.org/articles/france-tempts-ai-firms-with-its-nuclear-electricity,Verified,NUCLEAR_PROCUREMENT,Sectoral,Facilitation
